titulo,autor,isbn,editorial,año_publicacion,genero,descripcion
Cien años de soledad,Gabriel García Márquez,978-0307474728,Editorial Sudamericana,1967,Realismo mágico,Una obra maestra que narra la historia de la familia Buendía en el pueblo ficticio de Macondo
Don Quijote de la Mancha,Miguel de Cervantes,978-8491050353,Francisco de Robles,1605,Novela,La historia del ingenioso hidalgo que pierde la razón y decide convertirse en caballero andante
1984,George Orwell,978-0451524935,Secker and Warburg,1949,Distopía,Una novela distópica que explora temas de vigilancia totalitaria y control social
El amor en los tiempos del cólera,Gabriel García Márquez,978-0307387387,Oveja Negra,1985,Romance,Una historia de amor que perdura más de cincuenta años entre Florentino Ariza y Fermina Daza
Rayuela,Julio Cortázar,978-8420471891,Editorial Sudamericana,1963,Novela experimental,Una novela antinovela que puede leerse de múltiples formas y secuencias
Pedro Páramo,Juan Rulfo,978-8420674155,Fondo de Cultura Económica,1955,Realismo mágico,Un hombre busca a su padre en el pueblo fantasma de Comala
La casa de los espíritus,Isabel Allende,978-1501117015,Plaza & Janés,1982,Realismo mágico,La saga de la familia Trueba a lo largo de cuatro generaciones
Ficciones,Jorge Luis Borges,978-0802130303,Sur,1944,Cuentos,Colección de cuentos que exploran temas metafísicos y filosóficos
Crónica de una muerte anunciada,Gabriel García Márquez,978-0307387981,Oveja Negra,1981,Novela corta,La reconstrucción periodística de un asesinato anunciado pero no evitado
El túnel,Ernesto Sabato,978-8432217234,Sur,1948,Novela psicológica,Un pintor obsesionado narra su historia de amor y crimen
La ciudad y los perros,Mario Vargas Llosa,978-8420471822,Seix Barral,1963,Novela,La vida en un colegio militar de Lima y sus consecuencias en los jóvenes cadetes
Bestiario,Julio Cortázar,978-8466332392,Editorial Sudamericana,1951,Cuentos,Primera colección de cuentos del autor argentino con elementos fantásticos
El Aleph,Jorge Luis Borges,978-8420633718,Losada,1949,Cuentos,Colección de cuentos que incluye algunas de las obras más famosas de Borges
Como agua para chocolate,Laura Esquivel,978-0385721233,Planeta,1989,Realismo mágico,Una historia de amor frustrado contada a través de recetas de cocina
Los detectives salvajes,Roberto Bolaño,978-8433920645,Anagrama,1998,Novela,La búsqueda de una poeta mexicana desaparecida y las aventuras de dos poetas

